FID,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,cancer_cap
5848,Kenya,Uasin Gishu,Soliat Dispensary,Dispensary,MoH,0.1543,35.4711,GPS,No
5847,Kenya,Uasin Gishu,Sinonin Dispensary,Dispensary,MoH,0.7249,35.2339,GPS,No
5846,Kenya,Uasin Gishu,Simotwo Dispensary,Dispensary,MoH,0.7898,35.41,Google Earth,No
5845,Kenya,Uasin Gishu,Sergoit Dispensary,Dispensary,MoH,0.6121,35.3945,GPS,No
5844,Kenya,Uasin Gishu,Segero Dispensary,Dispensary,MoH,0.9177,35.2691,GPS,No
5843,Kenya,Uasin Gishu,Segero Central Dispensary,Dispensary,MoH,0.9171,35.2683,Google Earth,No
5842,Kenya,Uasin Gishu,Sambut Dispensary,Dispensary,MoH,0.6365,35.134,GPS,No
5841,Kenya,Uasin Gishu,Railways Dispensary,Dispensary,MoH,0.5254,35.2698,GPS,No
5840,Kenya,Uasin Gishu,Plateau Hospital,Mission Hospital,FBO,0.4025,35.4229,GPS,No
5839,Kenya,Uasin Gishu,Pioneer Health Centre,Health Centre,Local authority,0.509,35.2682,GPS,Yes
5838,Kenya,Uasin Gishu,Patrician Dispensary,Dispensary,FBO,0.4359,35.2623,GPS,No
5837,Kenya,Uasin Gishu,Our Lady of Lords Dispensary,Dispensary,FBO,0.5887,35.0495,GPS,No
5835,Kenya,Uasin Gishu,Osorongai Dispensary,Dispensary,MoH,0.5674,34.9559,GPS,No
5834,Kenya,Uasin Gishu,Ongata Dispensary,Dispensary,MoH,0.3571,35.3091,GPS,No
5833,Kenya,Uasin Gishu,North Star Alliance Wellness Centre Clinic,Clinic,NGO,0.2161,35.4326,Google Earth,No
5829,Kenya,Uasin Gishu,Nairiri Dispensary,Dispensary,MoH,0.3922,35.3106,GPS,No
5828,Kenya,Uasin Gishu,Nabkoi Dispensary,Dispensary,MoH,0.1386,35.4656,GPS,No
5827,Kenya,Uasin Gishu,Muyengwet Dispensary,Dispensary,MoH,0.52,35.3642,Google Earth,No
5826,Kenya,Uasin Gishu,Murgusi Dispensary,Dispensary,MoH,0.6088,34.9893,Google Earth,No
5825,Kenya,Uasin Gishu,Murgor Hills Dispensary,Dispensary,MoH,0.5615,35.0836,GPS,No
5824,Kenya,Uasin Gishu,Muchorwe Dispensary,Dispensary,MoH,0.0285,35.5112,Google Earth,No
5823,Kenya,Uasin Gishu,Moi's Bridge Health Centre,Health Centre,MoH,0.876,35.1221,GPS,Yes
5822,Kenya,Uasin Gishu,Moi's Bridge Catholic Health Centre,Health Centre,FBO,0.8787,35.1253,GPS,Yes
5821,Kenya,Uasin Gishu,Moiben Health Centre,Health Centre,MoH,0.8217,35.3854,GPS,Yes
5820,Kenya,Uasin Gishu,Moi Teaching Referral Hospital,National Referral Hospital,MoH,0.5112,35.2803,GPS,No
5819,Kenya,Uasin Gishu,Mogoon Dispensary,Dispensary,MoH,0.8722,35.1779,GPS,No
5818,Kenya,Uasin Gishu,Mobet Dispensary,Dispensary,MoH,0.8097,35.1495,GPS,No
5814,Kenya,Uasin Gishu,Matharu Dispensary,Dispensary,MoH,0.1056,35.5045,GPS,No
5813,Kenya,Uasin Gishu,Mary Immaculate Dispensary,Dispensary,FBO,0.4333,35.4605,Google Earth,No
5812,Kenya,Uasin Gishu,Lingwai Dispensary,Dispensary,MoH,0.2194,35.4128,GPS,No
5811,Kenya,Uasin Gishu,Lemoru Trinity Dispensary,Dispensary,FBO,0.8512,35.2644,GPS,No
5810,Kenya,Uasin Gishu,Lemoru Ngeny Dispensary,Dispensary,MoH,0.8536,35.2887,GPS,No
5809,Kenya,Uasin Gishu,Leberio Dispensary,Dispensary,MoH,0.441,35.2333,Google Earth,No
5808,Kenya,Uasin Gishu,Langas PCEA Health Centre,Health Centre,FBO,0.4833,35.2617,GPS,Yes
5807,Kenya,Uasin Gishu,Kuinet Dispensary,Dispensary,MoH,0.6266,35.3108,GPS,No
5806,Kenya,Uasin Gishu,Kongnyalil Dispensary,Dispensary,MoH,0.7922,35.4664,Google Earth,No
5805,Kenya,Uasin Gishu,Koitoror PCEA Dispensary,Dispensary,FBO,0.5617,35.3988,GPS,No
5804,Kenya,Uasin Gishu,Kisor Dispensary,Dispensary,MoH,0.5225,35.2059,Google Earth,No
